"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3,C4,C11,C16";"C0603F";5;"100nF";;;
2;"C2";"C0603F";1;"220nF";;;
3;"C9";"C0603F";1;"270pF";;;
4;"C10";"C0603F";1;"4.7nF";;;
5;"C12";"C0603F";1;"40pF";;;
6;"C13,C14";"C0603F";2;"10pF";;;
7;"C15";"C0402F";1;"220pF";;;
8;"D3,D5";"D0603E";2;"Gelb";;;
9;"D4";"D0603E";1;"Gleb";;;
10;"IC1";"16-leadTSSOP_0,137,4,4mmBreite";1;"A5950";;;
11;"L1,L3";"C0603F";2;"FB";;;
12;"L2";"NR3030";1;"10uH";;;
13;"LS1";"Ultraschallsensor";1;"Ultraschall Sender/Empränger";;;
14;"P1";"CON-SENSOR2";1;"CON-SENSOR2";;;
15;"P2";"pin_array_5x1";1;"CONN_01X05";;;
16;"R2";"R0603F";1;"13.3k";;;
17;"R3";"R0603F";1;"1M";;;
18;"R4,R11,R12,R13";"R0603F";4;"20k";;;
19;"R5,R7,R10";"R0603F";3;"100k";;;
20;"R6";"R0603F";1;"10";;;
21;"R8";"ST4ETA";1;"50k";;;
22;"R9";"R0603F";1;"120k";;;
23;"RP1";"0603X4";1;"10k";;;
24;"RP2";"0603X4";1;"1k";;;
25;"RP3";"4X0402";1;"82";;;
26;"RV1";"ST4ETA";1;"200k";;;
27;"U1";"QFN48-EP2";1;"XMC1XXX48";;;
28;"U3";"SOT23-5";1;"LMR62014X";;;
29;"X1";"CRYSTAL_3225";1;"CRYSTAL_3225";;;
30;"D1";"SOD-123";1;"B0520LW";;;
31;"C7,C6,C5,C8";"C0805";4;"4.7uF";;;
32;"D2";"SOD-123";1;"ZENER";;;
33;"U2";"TSSOP8";1;"TLC272";;;
34;"P3";"DEBUG_PAD";1;"CONN_01X01";;;
35;"P4";"SolderJumper";1;"CONN_01X02";;;
36;"R17,R18";"R0603F";2;"0";;;
37;"U5,U6";"DRILL_NP";2;"DRILL";;;
